Concentration,30K,50K,123K,200K,311K,650K,1080K,2000K
10.0,52.7,54.0,56.1,61.3,62.2,71.6,85.4,103.4
10.0,51.4,52.4,55.6,62.5,66.6,72.5,86.3,102.1
10.0,52.1,53.0,55.9,63.6,64.0,71.4,86.2,100.7
10.0,51.7,55.1,55.2,62.5,69.3,71.9,83.4,102.1
10.0,53.6,56.4,57.7,64.4,65.7,70.9,85.9,104.9
10.0,51.6,56.0,56.8,63.5,67.1,72.0,86.9,102.4
,,,,,,,,
15.0,80.2,83.5,89.1,102.4,105.9,118.1,147.5,192.0
15.0,79.4,86.0,88.3,102.0,106.7,116.7,148.0,194.4
15.0,80.6,84.4,87.6,100.8,110.2,118.4,148.3,193.7
15.0,78.9,87.8,88.3,103.0,111.0,117.2,148.6,194.0
15.0,81.2,84.7,89.8,99.1,103.1,117.9,145.1,192.4
15.0,80.7,85.4,89.7,98.8,101.3,118.2,148.0,190.2
,,,,,,,,
20.0,112.5,111.6,126.8,142.8,152.8,185.5,233.6,316.2
20.0,108.2,112.5,125.6,145.1,153.9,185.8,233.9,316.1
20.0,107.6,113.0,127.6,141.7,154.0,186.7,232.4,318.6
20.0,108.6,115.7,125.0,141.9,149.5,188.3,232.6,313.7
20.0,108.6,111.9,127.6,139.2,142.6,189.3,233.0,312.3
20.0,106.4,113.2,126.8,142.5,142.6,189.0,232.0,313.3
,,,,,,,,
25.0,141.1,147.9,171.4,190.8,211.2,266.9,330.2,502.8
25.0,142.4,145.6,166.9,184.8,202.3,271.9,328.0,497.1
25.0,138.1,153.2,176.1,184.2,204.6,267.4,330.0,507.4
25.0,140.6,154.8,171.4,183.6,209.3,270.2,329.5,500.5
25.0,137.2,152.7,165.8,180.7,197.2,260.7,321.4,495.1
25.0,140.3,147.0,167.3,180.7,192.6,261.3,320.8,488.8
,,,,,,,,
30.0,170.2,182.6,206.2,244.2,250.8,348.7,465.2,700.9
30.0,169.6,185.9,200.1,242.4,251.2,343.2,470.5,735.3
30.0,169.6,182.3,214.3,244.1,277.7,346.6,473.4,733.8
30.0,179.9,178.1,210.2,244.9,274.5,332.3,477.4,725.1
30.0,174.1,182.9,208.5,243.2,271.0,351.9,461.8,728.7
30.0,174.5,183.0,206.2,246.9,267.0,342.6,460.8,727.3
